hour,ride_count,anomaly
2019-01-01 00:00:00,13429,1
2019-01-01 01:00:00,15447,1
2019-01-01 02:00:00,13252,1
2019-01-01 03:00:00,10464,1
2019-01-01 04:00:00,6893,1
2019-01-01 05:00:00,3420,1
2019-01-01 06:00:00,2704,1
2019-01-01 07:00:00,2920,1
2019-01-01 08:00:00,2880,1
2019-01-01 09:00:00,3842,1
2019-01-01 10:00:00,5213,1
2019-01-01 11:00:00,7196,1
2019-01-01 12:00:00,8661,1
2019-01-01 13:00:00,9170,1
2019-01-01 14:00:00,10027,1
2019-01-01 15:00:00,10539,1
2019-01-01 16:00:00,10043,1
2019-01-01 17:00:00,10079,1
2019-01-01 18:00:00,9763,1
2019-01-01 19:00:00,8449,1
2019-01-01 20:00:00,7585,1
2019-01-01 21:00:00,7165,1
2019-01-01 22:00:00,5978,1
2019-01-01 23:00:00,4313,1
2019-01-02 00:00:00,2886,1
2019-01-02 01:00:00,1565,1
2019-01-02 02:00:00,914,1
2019-01-02 03:00:00,736,-1
2019-01-02 04:00:00,1001,1
2019-01-02 05:00:00,2369,1
2019-01-02 06:00:00,5953,1
2019-01-02 07:00:00,8680,1
2019-01-02 08:00:00,10741,1
2019-01-02 09:00:00,10323,1
2019-01-02 10:00:00,10130,1
2019-01-02 11:00:00,10421,1
2019-01-02 12:00:00,10977,1
2019-01-02 13:00:00,11513,1
2019-01-02 14:00:00,12060,1
2019-01-02 15:00:00,12449,1
2019-01-02 16:00:00,11904,1
2019-01-02 17:00:00,13343,1
2019-01-02 18:00:00,14026,1
2019-01-02 19:00:00,12049,1
2019-01-02 20:00:00,10279,1
2019-01-02 21:00:00,10032,1
2019-01-02 22:00:00,8434,1
2019-01-02 23:00:00,5952,1
2019-01-03 00:00:00,3865,1
2019-01-03 01:00:00,2278,1
2019-01-03 02:00:00,1398,1
2019-01-03 03:00:00,1049,1
2019-01-03 04:00:00,1176,1
2019-01-03 05:00:00,2496,1
2019-01-03 06:00:00,6234,1
2019-01-03 07:00:00,9323,1
2019-01-03 08:00:00,11665,1
2019-01-03 09:00:00,11568,1
2019-01-03 10:00:00,11077,1
2019-01-03 11:00:00,11326,1
2019-01-03 12:00:00,12168,1
2019-01-03 13:00:00,12246,1
2019-01-03 14:00:00,13351,1
2019-01-03 15:00:00,13495,1
2019-01-03 16:00:00,12493,1
